external_mall_id,visits_in_monthly_average,visits_out_monthly_average,visits_in_daily_average,visits_out_daily_average,total_visits_in,total_visits_out,avg_dwell_time
22,1197271.33,1260582.83,42132.72,44360.69,14367256,15126994,50.0
17,1037618.54,1028069.77,36855.3,36516.14,13489041,13364907,57.78
26,956199.08,715704.54,33963.36,25421.2,12430588,9304159,62.82
33,818284.91,794831.55,28305.45,27494.17,9001134,8743147,61.43
24,1179555.92,1047198.0,41896.8,37195.56,15334227,13613574,42.75
10,1312435.69,1328568.46,46616.57,47189.59,17061664,17271390,55.17
14,2436163.31,2263950.77,86530.39,80413.55,31670123,29431360,52.16
25,1384573.46,1264055.23,49178.84,44898.14,17999455,16432718,53.26
32,2951948.17,2823763.83,111394.27,106557.13,17711689,16942583,59.66
28,1092480.92,1080722.08,38803.97,38386.3,14202252,14049387,72.01
7,1101238.89,1067335.78,39486.65,38271.0,9911150,9606022,62.51
30,1080208.64,1012568.82,40553.91,38014.53,11882295,11138257,61.15
12,5348833.15,4757923.54,189985.88,168997.28,69534831,61853006,27.84
15,857548.0,819818.92,30459.36,29119.25,11148124,10657646,55.11
36,873847.0,920874.0,36034.93,37974.19,3495388,3683496,84.76
23,828722.15,811094.38,29435.49,28809.36,10773388,10544227,54.32
18,642298.5,617005.25,33366.16,32052.22,2569194,2468021,84.14
19,1077500.09,1036612.09,40452.22,38917.18,11852501,11402733,57.95
13,1208202.1,1157749.7,43617.4,41796.02,12082021,11577497,60.88
16,2536162.0,2432863.38,90082.26,86413.18,32970106,31627224,46.56
